Symbol	Description
MMOH.IDX	Percent of Stocks Above 100-Day Average
MMTH.IDX	Percent of Stocks Above 200-Day Average
MMTW.IDX	Percent of Stocks Above 20-Day Average
MNG.IDX	AMEX MINI-NATURAL GAS INDEX
MNXR.IDX	S&P C.S. Mn-Minneapolis Home Price Index
MOY.IDX	Morgan Stanley Internet Index F
MSH.IDX	AMEX Morgan Stanley Hi Tech 35
MTFI.IDX	CAD Percent of Stocks Above 50-Day Average
MTOF.IDX	CAD Percent of Stocks Above 150-Day Average
MTOH.IDX	CAD Percent of Stocks Above 100-Day Average
MTTH.IDX	CAD Percent of Stocks Above 200-Day Average
MTTW.IDX	CAD Percent of Stocks Above 20-Day Average
MUV.IDX	Mdcp 400Bar Val
MVH.IDX	Morgan Stanley High-Technology
MXX.IDX	Mexico IPC
MXY.IDX	AMEX Mexico Index
MYHA.IDX	YTD Highs AMEX
MYHD.IDX	YTD Highs Otcbb
MYHE.IDX	YTD Highs ETFS
MYHH.IDX	YTD Highs Price GT $10
MYHL.IDX	YTD Highs Price Lt $10
MYHN.IDX	YTD Highs NYSE
MYHP.IDX	YTD Highs Sp500
MYHQ.IDX	YTD Highs Nasdaq
MYHU.IDX	YTD Highs Volume Lt 100K
MYHV.IDX	YTD Highs Volume GT 100K
MYHX.IDX	YTD Highs Overall
MYLA.IDX	YTD Lows AMEX
MYLD.IDX	YTD Lows Otcbb
