3UIS	Nx09100w 190601
E3B	Wee Hur Holdings Ltd.
E5H	Golden Agri-resources Ltd
E6A	Yongmao Holdings Limited
E6R	Samko Timber Limited
E8Z	Roxy-pacific Holdings Limited
E90	China Sky Chem Fibre Co. Ltd.
E94	Lizhong Wheel Group Ltd.
E9L	Joyas International Hldgs Ltd
EB5	First Resources Limited
EB7	Ktl Global Limited
EE6	Mercator Lines (singapore) Ltd
EG0	Jes International Holdings Ltd
EH5	United Overseas Australia Ltd
ER0	Ksh Holdings Limited
ES3	Sti Etf
F01	Freight Links Express Holdings
F03	Food Empire Holdings Limited
F10	F J Benjamin Holdings Ltd
F11	Fung Choi Media Group Limited
F12	Fibrechem Technologies Limited
F13	Fu Yu Corporation Ltd
F17	Guocoland Limited
F18	Full Apex (holdings) Limited
F1E	Low Keng Huat (singapore) Ltd
F25U	Fortune Real Estate Inv Trust
F31	Fragrance Group Limited
F34	Wilmar International Limited
F3V	Sino Construction Limited
F83	Cosco Corporation (s) Ltd
F86	Cougar Logistics Corpn Ltd
F99	Fraser And Neave Limited
F9D	Boustead Singapore Limited
F9M	Kencana Agri Limited
FO8	Eratat Lifestyle Limited
FP1	Dapai Intl Hldg Co. Ltd.
FQ7	Jasper Investments Limited
FQ8	China Sports Intl Limited
G07	Great Eastern Hldgs Ltd
G08	Gp Batteries Int Ltd
G0I	Nam Lee Pressed Metal Inds Ltd
G10	Yuexiu Property Co Limited
G11	Global Tech (hldgs) Limited
G13	Genting Singapore Plc
G18	Grp Ltd
G1K	Lyxor Etf Msci Asia Apex 50 10
G1M	Lyxor Etf Msci Malaysia 10
G1N	Lyxor Etf Msci India 10
G1O	Lyxor Commodities Crbnonenergy
G20	Gp Industries Limited
G3B	Dbs Singapore Sti Etf
G41	G. K. Goh Holdings Limited
G50	Grand Banks Yachts Limited
G54	China Essence Group Ltd.
G5X	Anwell Technologies Limited
G77	Digiland International Ltd
G86	China Milk Products Group Ltd
G92	China Aviation Oil(s) Corp Ltd
GG0	Ocbccapcorp(2008) 5.1%ncps 100
GG7	Hai Leck Holdings Limited
GH3	Asia Fashion Holdings Limited
GJ8	Dukang Distillers Hldgs Ltd
GU5	China Kunda Tech Holdings Ltd
H02	Haw Par Corp Ltd
H07	Stamford Land Corporation Ltd
H12	Hotel Royal Ltd
H13	Ho Bee Investment Limited
H15	Hotel Properties Ltd
H16	Huan Hsin Holdings Ltd
H17	Hi-p International Limited
H18	Hotel Grand Central Ltd
H19	Hwa Hong Corporation Limited
H1M	Lyxor Etf Eastern Europe 10
H1N	Lyxor Etf Msci Emerging Mkt 10
H1O	Lyxoretf Msci Em Latin America
H1P	Lyxor Etf Msci World 10
H1Q	Lyxor Etf Nasdaq100 10
H20	Hoe Leong Corporation Ltd.
