ANPFF     	Anpulo Food Inc                                   	OTCBB     
ANSLF     	Ansell Ltd                                        	OTCBB     
ANSLY     	Ansell Ltd ADR                                    	OTCBB     
ANSU      	Amanasu Techs Corp                                	OTCBB     
ANTB      	Antriabio Inc                                     	OTCBB     
ANXGF     	Anaconda Mining Inc                               	OTCBB     
ANZBY     	Australia and New Zealand Bank                    	OTCBB     
ANZFF     	Air New Zealand Ord                               	OTCBB     
AOBI      	American Orientl Bio                              	OTCBB     
AOCIF     	Autocanada Inc                                    	OTCBB     
AOFEF     	Apollo Consolidated Limited                       	OTCBB     
AOGC      	Australian Oil & Gas                              	OTCBB     
AOGN      	Avalon Oil & Gas Inc                              	OTCBB     
AOIFF     	Africa Oil Corp                                   	OTCBB     
AOILQ     	Armada Oil Inc                                    	OTCBB     
AOLS      	Aeolus Pharmaceuticl                              	OTCBB     
AOMFF     	Alstom Shs Prov Regr                              	OTCBB     
AONCF     	Advanced Oncotherapy Plc                          	OTCBB     
AONNY     	Aeon Co Ltd ADR                                   	OTCBB     
AOOO      	Autoco.Com Inc                                    	OTCBB     
AOREF     	Amer Overseas Gp Ltd                              	OTCBB     
AOTOF     	Anoto Group Ab [Publ]                             	OTCBB     
AOUFF     	Aldrin Resource                                   	OTCBB     
AOWDF     	Ao World Plc                                      	OTCBB     
AOXY      	Advanced Oxygen Tech                              	OTCBB     
AOZOY     	Aozora Bank ADR                                   	OTCBB     
APAAF     	Appia Energy Corp                                 	OTCBB     
