FUSYQVCF  	FTSE USA Yield/Qual/Vol                           	LSE       
FUTR      	Future Plc                                        	LSE       
FVTT      	FTSE Vietnam Index                                	LSE       
FWEC      	Go Ucits ETF Solutions P                          	LSE       
FXC       	Ishares Plc                                       	LSE       
FXI       	Fusionex International P                          	LSE       
FXPO      	Ferrexpo Plc                                      	LSE       
FXRU      	Finex Funds Plc                                   	LSE       
FXTM      	FTSE China 50 Mini Index                          	LSE       
G06       	FTSE Asia Pac Lms Index                           	LSE       
G07       	FTSE Asia Pac Lms Ex Jap                          	LSE       
G08       	FTSE Asia Pac Lms Ex Jap                          	LSE       
G09       	FTSE Asia Pac Lms Ex JP                           	LSE       
G10       	FTSE Greater China Lms I                          	LSE       
G11       	FTSE Europe Lms Index                             	LSE       
G12       	FTSE Europe Lms Ex UK In                          	LSE       
G14       	FTSE Eurobloc Lms Index                           	LSE       
G4M       	Gear4Music (Holdings) Pl                          	LSE       
GACA      	General Accident Plc                              	LSE       
GACB      	General Accident Plc                              	LSE       
GAH       	Gable Holdings Inc.                               	LSE       
GAID      	Gail (India) Ld                                   	LSE       
GAL       	Galantas Gold Corporation                         	LSE       
GAMA      	Gamma Communications Plc                          	LSE       
GAN       	Gameaccount Network Plc                           	LSE       
GAW       	Games Workshop Group Plc                          	LSE       
GAZ       	Jsc Gazprom Neft                                  	LSE       
GB78      	Goldman Sachs Internatio                          	LSE       
GBCA      	ETFS Foreign Exchange Limited                     	LSE       
GBCH      	ETFS Foreign Exchange Limited                     	LSE       
GBDV      	SSGA SPDR ETFS Europe I                           	LSE       
GBG       	Gb Group Plc                                      	LSE       
GBGR      	Goldbridges Global Resou                          	LSE       
GBJP      	ETFS Foreign Exchange Limited                     	LSE       
GBNO      	ETFS Foreign Exchange Limited                     	LSE       
GBNZ      	ETFS Foreign Exchange Limited                     	LSE       
GBP       	Global Petroleum Limited                          	LSE       
GBPCORPA  	                                                  	LSE       
GBPP      	ETFS Foreign Exchange Limited                     	LSE       
GBRE      	SSGA SPDR ETFS Europe I                           	LSE       
GBS       	Gold Bullion Securities Ld                        	LSE       
GBSK      	ETFS Foreign Exchange Limited                     	LSE       
GBSP      	ETFS Hedged Metal Securi                          	LSE       
GBSS      	Gold Bullion Securities Ld                        	LSE       
GBUR      	ETFS Foreign Exchange Limited                     	LSE       
GBUS      	ETFS Foreign Exchange Limited                     	LSE       
GCL       	Geiger Counter Limited                            	LSE       
GCLA      	Grupo Clarin S.A.                                 	LSE       
GCM       	Gcm Resources Plc                                 	LSE       
GCP       	Gcp Infrastructure Investments Limited            	LSE       
GCVB      	SSGA SPDR ETFS Europe II                          	LSE       
GD07      	FTSE Global Energy                                	LSE       
GDG       	Green Dragon Gas Ltd.                             	LSE       
GDL       	Greka Drilling Limited                            	LSE       
GDP       	Goldplat Plc                                      	LSE       
GDPECO    	FTSE Emerging Incl China                          	LSE       
GDPECON   	FTSE Emerging Incl China                          	LSE       
GDWN      	Goodwin Plc                                       	LSE       
GDX       	Market Vectors Ucits ETF                          	LSE       
GDXJ      	Market Vectors Ucits ETF                          	LSE       
GEC       	General Electric Company                          	LSE       
GED       	Global Energy Development Plc                     	LSE       
GEEC      	Great Eastern Energy Corporation Limited          	LSE       
GEF       	Fundlogic Alternatives P                          	LSE       
GEISAC    	FTSE Gloabl All Cap Inde                          	LSE       
GEL       	Greka Engineering & Tech                          	LSE       
GEM       	Gemfields Plc                                     	LSE       
GEMD      	Gem Diamonds Limited                              	LSE       
GENL      	Genel Energy Plc                                  	LSE       
GFIN      	Gfinity Plc                                       	LSE       
GFIR      	Global Fixed Income Real                          	LSE       
GFM       	Griffin Mining Limited                            	LSE       
GFRD      	Galliford Try Plc                                 	LSE       
GFS       	G4S Plc                                           	LSE       
GFTU      	Grafton Group Plc                                 	LSE       
GGP       	Greatland Gold Plc                                	LSE       
GHE       	Gresham House Plc                                 	LSE       
GHEW      	Gresham House Plc                                 	LSE       
GHG       	Georgia Healthcare Group Plc                      	LSE       
GHH       	Gooch & Housego Plc                               	LSE       
GHS       	Gresham House Strategic Plc                       	LSE       
GHT       	Gresham Computing Plc                             	LSE       
GHYS      	Ishares Vi Plc (The Comp                          	LSE       
GI18      	Ishares IV Plc                                    	LSE       
GILI      	Multi Units France                                	LSE       
GILS      	Multi Units France                                	LSE       
GIN       	SSGA SPDR ETFS Europe II                          	LSE       
GINV      	Global Invacom Group Lim                          	LSE       
GIPO      	Grand Group Investment P                          	LSE       
GKN       	Gkn Plc                                           	LSE       
GKP       	Gulf Keystone Petroleum Ltd                       	LSE       
GLAF      	Gli Alternative Finance Plc                       	LSE       
GLB       	Glanbia Plc                                       	LSE       
GLD       	Boost Issuer Public Limi                          	LSE       
GLDV      	SSGA SPDR ETFS Europe I                           	LSE       
GLE       	Gleeson [M.J.] Group Plc                          	LSE       
GLEN      	Glencore Xstrata Plc                              	LSE       
GLIF      	Greenwich Loan Income Fund Ld                     	LSE       
GLIZ      	Gli Finance Limited                               	LSE       
GLOO      	Gloo Networks Plc                                 	LSE       
GLPR      	Global Ports Investments                          	LSE       
GLR       	Galileo Resources Plc                             	LSE       
GLRE      	SSGA SPDR ETFS Europe I                           	LSE       
GLS       	Galasys Plc                                       	LSE       
GLTD      	Global Telecom Holding S                          	LSE       
GLTL      	SSGA SPDR ETFS Europe I Plc                       	LSE       
GLTR      	Globaltrans Investment P                          	LSE       
GLTS      	SSGA SPDR ETFS Europe I Plc                       	LSE       
GLTY      	SSGA SPDR ETFS Europe I Plc                       	LSE       
GMAA      	Gama Aviation Plc                                 	LSE       
GMD       	Game Digital Plc                                  	LSE       
GMR       	Gaming Realms Plc                                 	LSE       
GMS       	Gulf Marine Services Plc                          	LSE       
